/* DATA DESCRIPTION:
Citation:	Köhler, Peter; Nehrbass-Ahles, Christoph; Schmitt, Jochen; Stocker, Thomas F; Fischer, Hubertus (2017): Continuous record of the atmospheric greenhouse gas methane (CH4), final spline-smoothed data of calculated radiative forcing (Version 1) [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.871270, 
	In supplement to: Köhler, P et al. (2017): A 156 kyr smoothed history of the atmospheric greenhouse gases CO2, CH4, and N2O and their radiative forcing. Earth System Science Data, 9(1), 363-387, https://doi.org/10.5194/essd-9-363-2017
New version:	Köhler, Peter; Nehrbass-Ahles, Christoph; Schmitt, Jochen; Stocker, Thomas F; Fischer, Hubertus (2017): Continuous record of the atmospheric greenhouse gas methane (CH4), final spline-smoothed data of calculated radiative forcing (Version 2). PANGAEA, https://doi.org/10.1594/PANGAEA.876009
Related to:	Köhler, Peter; Nehrbass-Ahles, Christoph; Schmitt, Jochen; Stocker, Thomas F; Fischer, Hubertus (2017): Continuous records of the atmospheric greenhouse gases CO2, CH4, and N2O and their radiative forcing since the penultimate glacial maximum. Earth System Science Data Discussions, https://doi.org/10.5194/essd-2017-6
Comment:	Final spline with 156278 lines (-66 BP to 156211 BP).
Parameter(s):	AGE [ka BP] (Age) * GEOCODE * PI: Köhler, Peter (https://orcid.org/0000-0003-0904-8484, Peter.Koehler@awi.de, http://www.awi.de/en/about-us/organisation/staff/peter-koehler.html)
	Methane, dry-air mole fraction [nmol/mol] (CH4) * PI: Köhler, Peter (https://orcid.org/0000-0003-0904-8484, Peter.Koehler@awi.de, http://www.awi.de/en/about-us/organisation/staff/peter-koehler.html) * COMMENT: nmol/mol = ppb
	Radiative forcing of atmospheric methane [W/m**2] (dR_[CH4]) * PI: Köhler, Peter (https://orcid.org/0000-0003-0904-8484, Peter.Koehler@awi.de, http://www.awi.de/en/about-us/organisation/staff/peter-koehler.html) * COMMENT: = 1.4 * 0.036 * (sqrt(CH4/ppb)-sqrt(742))
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	312556 data points
*/
Age [ka BP]	CH4 [nmol/mol]	dR_[CH4] [W/m**2]
-0.066	1794.11	0.762
-0.065	1780.47	0.754
-0.064	1769.75	0.747
-0.063	1763.26	0.743
-0.062	1758.52	0.741
-0.061	1753.02	0.737
-0.060	1746.72	0.734
-0.059	1741.28	0.730
-0.058	1735.44	0.727
-0.057	1728.69	0.723
-0.056	1725.83	0.721
-0.055	1726.72	0.721
-0.054	1728.30	0.722
-0.053	1728.81	0.723
-0.052	1727.98	0.722
-0.051	1727.49	0.722
-0.050	1726.42	0.721
-0.049	1720.64	0.718
-0.048	1711.61	0.712
-0.047	1704.09	0.708
-0.046	1699.65	0.705
-0.045	1695.40	0.702
-0.044	1690.44	0.699
-0.043	1687.21	0.697
-0.042	1680.75	0.693
-0.041	1669.41	0.686
-0.040	1659.03	0.680
-0.039	1648.17	0.673
-0.038	1636.06	0.666
-0.037	1624.46	0.658
-0.036	1612.85	0.651
-0.035	1600.78	0.644
-0.034	1586.53	0.635
-0.033	1567.65	0.623
-0.032	1548.55	0.610
-0.031	1530.24	0.599
-0.030	1513.28	0.588
-0.029	1498.48	0.578
-0.028	1484.52	0.569
-0.027	1470.61	0.560
-0.026	1456.02	0.550
-0.025	1440.96	0.540
-0.024	1425.70	0.530
-0.023	1409.58	0.519
-0.022	1392.33	0.508
-0.021	1375.64	0.496
-0.020	1358.65	0.485
-0.019	1340.74	0.473
-0.018	1322.94	0.460
-0.017	1306.67	0.449
-0.016	1292.89	0.439
-0.015	1280.83	0.431
-0.014	1269.12	0.423
-0.013	1256.18	0.413
-0.012	1242.63	0.404
-0.011	1229.60	0.394
-0.010	1217.39	0.386
-0.009	1205.94	0.377
-0.008	1195.73	0.370
-0.007	1186.47	0.363
-0.006	1175.88	0.355
-0.005	1164.03	0.347
-0.004	1152.66	0.338
-0.003	1142.15	0.330
-0.002	1132.38	0.323
-0.001	1123.64	0.317
0.000	1116.13	0.311
0.001	1109.40	0.306
0.002	1103.30	0.301
0.003	1098.09	0.297
0.004	1094.14	0.294
0.005	1091.16	0.292
0.006	1088.88	0.290
0.007	1086.86	0.289
0.008	1083.85	0.286
0.009	1079.62	0.283
0.010	1075.25	0.280
0.011	1070.87	0.276
0.012	1066.28	0.273
