Time,Lat_5,Lat_15,Lat_25,Lat_35,Lat_45,Lat_55,Lat_65,Lat_75,Lat_85
12000,414.328803,402.947459,380.657807,348.443891,307.939793,261.898905,216.559518,190.406214,179.21018
11950,414.324384,402.943609,380.654808,348.442181,307.94013,261.902267,216.568873,190.423452,179.230045
11900,414.320106,402.939748,380.651804,348.440526,307.94045,261.905572,216.578059,190.44036,179.249525
11850,414.315872,402.936035,380.648925,348.438869,307.940765,261.90881,216.587066,190.456932,179.268622
11800,414.311733,402.932401,380.646089,348.437264,307.941061,261.911998,216.595907,190.473178,179.287332
11750,414.307686,402.928822,380.643291,348.435705,307.941352,261.915122,216.604569,190.489087,179.305656
11700,414.303745,402.925303,380.640542,348.43419,307.941641,261.918177,216.613048,190.504657,179.323592
11650,414.299883,402.921832,380.637839,348.43273,307.941924,261.921169,216.62134,190.519892,179.341139
11600,414.296109,402.918416,380.635186,348.431287,307.942219,261.924085,216.629439,190.534785,179.358295
11550,414.292435,402.915048,380.632567,348.429851,307.942502,261.926922,216.637348,190.54934,179.375061
11500,414.288835,402.911722,380.630003,348.428457,307.942785,261.929695,216.645061,190.56356,179.391433
11450,414.285327,402.908457,380.627486,348.42711,307.943057,261.93241,216.652586,190.57744,179.407412
11400,414.281928,402.905251,380.62502,348.425809,307.94332,261.935065,216.659955,190.590978,179.422996
11350,414.278624,402.902133,380.622616,348.424528,307.94356,261.937644,216.667171,190.60417,179.438183
11300,414.275453,402.899082,380.620287,348.423289,307.94381,261.940141,216.674184,190.617019,179.452974
11250,414.272366,402.896139,380.618022,348.422073,307.944064,261.94256,216.681004,190.62953,179.467369
11200,414.26935,402.893289,380.615813,348.420911,307.944305,261.944913,216.687619,190.641708,179.481364
11150,414.266414,402.890528,380.613669,348.419776,307.944543,261.947192,216.694031,190.653542,179.494959
11100,414.263535,402.88787,380.611575,348.418664,307.944775,261.949418,216.700236,190.665022,179.508149
11050,414.260747,402.885294,380.609544,348.417566,307.944972,261.951596,216.706239,190.676153,179.520939
11000,414.258058,402.882775,380.6076,348.416493,307.945149,261.95369,216.71208,190.686926,179.533326
10950,414.255415,402.880353,380.605708,348.415429,307.945307,261.955704,216.717723,190.697343,179.545308
10900,414.25281,402.878,380.603868,348.414398,307.945459,261.957643,216.723187,190.707399,179.556891
10850,414.250317,402.875714,380.602093,348.413377,307.945588,261.959505,216.728453,190.717107,179.568065
10800,414.247866,402.873499,380.600398,348.41236,307.945723,261.961289,216.733553,190.726459,179.57884
10750,414.245486,402.871383,380.598759,348.41136,307.945862,261.963002,216.738503,190.735459,179.589217
10700,414.243215,402.86933,380.597151,348.41045,307.945975,261.964658,216.743207,190.744113,179.599189
10650,414.240961,402.867355,380.595631,348.409545,307.946082,261.96625,216.747772,190.752419,179.608763
10600,414.238772,402.865473,380.594172,348.40868,307.946171,261.967782,216.752121,190.760383,179.617943
10550,414.236758,402.863651,380.592742,348.407867,307.94626,261.96923,216.756251,190.76799,179.626708
10500,414.234741,402.861923,380.591391,348.407072,307.946323,261.970633,216.760196,190.775246,179.635093
10450,414.232793,402.860293,380.590094,348.406323,307.946387,261.971961,216.763944,190.782145,179.643081
10400,414.231039,402.858707,380.588848,348.405611,307.946454,261.973203,216.767502,190.788703,179.650642
10350,414.229255,402.857297,380.58767,348.404929,307.946512,261.974385,216.770839,190.794905,179.657819
10300,414.22757,402.855958,380.586551,348.404253,307.946582,261.975492,216.773969,190.800758,179.664599
10250,414.226081,402.854612,380.585492,348.403645,307.94663,261.97653,216.776957,190.806273,179.670957
10200,414.224575,402.853401,380.584502,348.40308,307.946706,261.97753,216.779713,190.811438,179.676927
10150,414.223152,402.852263,380.583559,348.402562,307.946763,261.978467,216.782302,190.81625,179.682503
10100,414.221822,402.851196,380.582686,348.402043,307.94677,261.97933,216.784732,190.820711,179.687675
10050,414.220696,402.850176,380.581883,348.401578,307.946797,261.980102,216.786971,190.824837,179.692433
10000,414.219574,402.849256,380.581136,348.401126,307.946793,261.98082,216.78907,190.828599,179.69679
9950,414.218615,402.848397,380.580452,348.40073,307.946798,261.981456,216.790974,190.832031,179.700751
9900,414.217784,402.847619,380.579836,348.400389,307.94683,261.982025,216.792665,190.835125,179.704309
9850,414.217044,402.846899,380.579274,348.400111,307.94687,261.98252,216.794151,190.837876,179.707462
9800,414.216397,402.84629,380.578784,348.399847,307.946897,261.982952,216.795438,190.84027,179.71021
9750,414.215867,402.845758,380.578393,348.399634,307.946932,261.983305,216.796506,190.842315,179.712557
9700,414.215449,402.84532,380.578078,348.399441,307.946944,261.98358,216.797406,190.844035,179.71451
9650,414.215147,402.844965,380.577832,348.399238,307.94693,261.983802,216.79814,190.845405,179.716059
9600,414.215001,402.844689,380.577619,348.399073,307.94692,261.983951,216.798725,190.846417,179.717207
9550,414.214932,402.844506,380.577436,348.398972,307.946862,261.984071,216.799129,190.847088,179.717952
9500,414.214924,402.844388,380.577311,348.398866,307.946819,261.984149,216.799329,190.847418,179.718333
9450,414.214884,402.844348,380.577275,348.398835,307.946793,261.984131,216.799322,190.847424,179.718342
9400,414.215019,402.844422,380.577265,348.398753,307.946757,261.984058,216.799121,190.847099,179.717947
9350,414.215221,402.844602,380.577347,348.398746,307.946704,261.983937,216.798722,190.846429,179.71716
9300,414.215486,402.844903,380.577489,348.398769,307.946656,261.983735,216.79812,190.845404,179.715997
9250,414.215817,402.84526,380.577698,348.398824,307.946646,261.98345,216.797325,190.844034,179.714464
9200,414.216217,402.845697,380.577959,348.398942,307.946625,261.983111,216.796386,190.842322,179.712565
9150,414.216703,402.846154,380.578252,348.399125,307.946576,261.982714,216.7953,190.840257,179.710276
9100,414.21728,402.846709,380.578617,348.399312,307.946482,261.982241,216.794063,190.837888,179.707606
9050,414.217993,402.847292,380.579036,348.399555,307.94638,261.981679,216.792612,190.835206,179.704541
9000,414.218802,402.847952,380.579544,348.399857,307.946292,261.981033,216.790951,190.832199,179.701074
8950,414.219657,402.848668,380.580102,348.400202,307.946239,261.980325,216.789089,190.828848,179.697223
8900,414.220578,402.849443,380.580726,348.400569,307.946169,261.979567,216.787022,190.825166,179.692975
8850,414.221555,402.850322,380.581404,348.400929,307.946063,261.978755,216.784809,190.821135,179.688337
8800,414.222617,402.85124,380.582193,348.401384,307.946002,261.977886,216.782358,190.816799,179.683316
8750,414.223756,402.852235,380.583062,348.40183,307.945906,261.976972,216.779755,190.812122,179.677904
8700,414.225029,402.853286,380.58394,348.402287,307.945777,261.975983,216.777022,190.807087,179.672103
8650,414.226406,402.85442,380.584884,348.402807,307.945625,261.974919,216.774134,190.801749,179.665917
8600,414.227793,402.855669,380.585849,348.403321,307.94548,261.973778,216.771013,190.796061,179.659372
8550,414.229272,402.85695,380.586876,348.403865,307.945328,261.972588,216.767752,190.790053,179.652407
8500,414.230761,402.858314,380.587951,348.404424,307.945163,261.971315,216.764281,190.783694,179.645066
8450,414.232388,402.859782,380.589083,348.405029,307.944994,261.969976,216.76062,190.777019,179.637385
8400,414.233987,402.861351,380.590257,348.405662,307.944788,261.968549,216.756763,190.770031,179.629278
8350,414.235643,402.86302,380.591486,348.40632,307.944567,261.967052,216.752716,190.762706,179.620799
8300,414.237511,402.864704,380.592786,348.407014,307.944374,261.965517,216.74852,190.75505,179.611989
8250,414.239322,402.866532,380.594121,348.407705,307.944142,261.963876,216.744099,190.747047,179.602757
8200,414.241216,402.868436,380.59547,348.408442,307.943912,261.962202,216.739511,190.738705,179.593209
8150,414.243198,402.870398,380.596874,348.409191,307.943678,261.960495,216.734823,190.730074,179.583328
8100,414.245379,402.872365,380.598393,348.410004,307.94345,261.958699,216.729914,190.721118,179.573023
8050,414.247556,402.874455,380.599911,348.410815,307.943194,261.956844,216.724884,190.711831,179.562396
8000,414.249881,402.876597,380.601493,348.411655,307.942967,261.954919,216.719661,190.702207,179.551383
7950,414.252306,402.878821,380.603145,348.412533,307.942723,261.952905,216.714232,190.692295,179.539994
7900,414.254845,402.88108,380.604861,348.413471,307.942461,261.950838,216.708606,190.682036,179.528233
7850,414.257419,402.883396,380.606649,348.414426,307.94219,261.948718,216.702824,190.671469,179.516076
7800,414.26012,402.885802,380.608509,348.415477,307.9419,261.94653,216.696839,190.660574,179.503562
7750,414.262946,402.888276,380.610478,348.416542,307.941635,261.944279,216.690673,190.649428,179.49067
7700,414.265944,402.890812,380.612525,348.417654,307.941398,261.942011,216.684324,190.637927,179.477407
7650,414.269012,402.893418,380.61463,348.4188,307.941138,261.939668,216.67789,190.626085,179.463774
7600,414.272094,402.896091,380.616736,348.419945,307.940836,261.937247,216.671296,190.61396,179.449766
7550,414.275206,402.898854,380.618912,348.421094,307.940536,261.934766,216.66451,190.601489,179.43538
7500,414.278336,402.901695,380.621108,348.422259,307.940231,261.932211,216.657538,190.58872,179.420645
7450,414.281507,402.904686,380.623372,348.423445,307.939932,261.929585,216.650384,190.575663,179.405533
7400,414.284786,402.907638,380.625651,348.424667,307.939606,261.926911,216.64307,190.562274,179.390118
7350,414.288068,402.910749,380.628011,348.425946,307.939269,261.924153,216.635573,190.54856,179.374298
7300,414.291394,402.9139,380.630408,348.427231,307.938946,261.921346,216.627901,190.534536,179.358187
7250,414.294795,402.917099,380.632841,348.428558,307.938598,261.918494,216.62006,190.520205,179.341752
7200,414.29832,402.920347,380.635335,348.429913,307.938225,261.915579,216.612091,190.505577,179.324978
7150,414.301904,402.92363,380.637857,348.431263,307.937853,261.912602,216.60399,190.490647,179.307825
7100,414.3055,402.92697,380.640457,348.432645,307.937486,261.909567,216.595715,190.475425,179.290335
7050,414.309137,402.930357,380.643095,348.43407,307.937106,261.906465,216.587265,190.459879,179.272481
7000,414.312918,402.933789,380.645783,348.435495,307.936721,261.903313,216.578644,190.444055,179.254263
6950,414.316979,402.937277,380.648519,348.436981,307.936313,261.900145,216.56986,190.427941,179.235696
6900,414.321201,402.940845,380.651339,348.43857,307.935927,261.89691,216.560908,190.411522,179.216776
