/* DATA DESCRIPTION:
Citation:	Köhler, Peter; Nehrbass-Ahles, Christoph; Schmitt, Jochen; Stocker, Thomas F; Fischer, Hubertus (2017): Continuous record of the atmospheric greenhouse gas carbon dioxide (CO2), final spline-smoothed data of calculated radiative forcing (Version 1) [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.871271, 
	In supplement to: Köhler, P et al. (2017): A 156 kyr smoothed history of the atmospheric greenhouse gases CO2, CH4, and N2O and their radiative forcing. Earth System Science Data, 9(1), 363-387, https://doi.org/10.5194/essd-9-363-2017
New version:	Köhler, Peter; Nehrbass-Ahles, Christoph; Schmitt, Jochen; Stocker, Thomas F; Fischer, Hubertus (2017): Continuous record of the atmospheric greenhouse gas carbon dioxide (CO2), final spline-smoothed data of calculated radiative forcing (Version 2). PANGAEA, https://doi.org/10.1594/PANGAEA.876013
Related to:	Köhler, Peter; Nehrbass-Ahles, Christoph; Schmitt, Jochen; Stocker, Thomas F; Fischer, Hubertus (2017): Continuous records of the atmospheric greenhouse gases CO2, CH4, and N2O and their radiative forcing since the penultimate glacial maximum. Earth System Science Data Discussions, https://doi.org/10.5194/essd-2017-6
Comment:	Final spline with 156373 lines (-66 BP to 156306 BP).
Parameter(s):	AGE [ka BP] (Age) * GEOCODE * PI: Köhler, Peter (https://orcid.org/0000-0003-0904-8484, Peter.Koehler@awi.de, http://www.awi.de/en/about-us/organisation/staff/peter-koehler.html)
	Carbon dioxide, dry-air mole fraction [µmol/mol] (CO2) * PI: Köhler, Peter (https://orcid.org/0000-0003-0904-8484, Peter.Koehler@awi.de, http://www.awi.de/en/about-us/organisation/staff/peter-koehler.html) * COMMENT: µmol/mol = ppm
	Radiative forcing of atmospheric carbon dioxide [W/m**2] (dR_[CO2]) * PI: Köhler, Peter (https://orcid.org/0000-0003-0904-8484, Peter.Koehler@awi.de, http://www.awi.de/en/about-us/organisation/staff/peter-koehler.html) * COMMENT: = 5.35 * ln(CO2/(278 ppm))
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	312746 data points
*/
Age [ka BP]	CO2 [µmol/mol]	dR_[CO2] [W/m**2]
-0.066	401.26	1.963
-0.065	399.62	1.941
-0.064	397.54	1.914
-0.063	395.16	1.881
-0.062	392.77	1.849
-0.061	390.65	1.820
-0.060	388.57	1.791
-0.059	386.53	1.763
-0.058	384.65	1.737
-0.057	382.80	1.711
-0.056	380.83	1.684
-0.055	378.69	1.654
-0.054	376.65	1.625
-0.053	374.44	1.593
-0.052	372.17	1.561
-0.051	370.35	1.535
-0.050	368.92	1.514
-0.049	367.41	1.492
-0.048	365.20	1.460
-0.047	363.19	1.430
-0.046	361.59	1.406
-0.045	359.75	1.379
-0.044	357.95	1.352
-0.043	356.71	1.334
-0.042	355.93	1.322
-0.041	355.00	1.308
-0.040	353.78	1.290
-0.039	352.31	1.267
-0.038	350.35	1.238
-0.037	348.31	1.206
-0.036	346.67	1.181
-0.035	345.27	1.159
-0.034	343.79	1.136
-0.033	342.20	1.112
-0.032	340.78	1.089
-0.031	339.37	1.067
-0.030	337.74	1.041
-0.029	336.10	1.015
-0.028	334.53	0.990
-0.027	332.88	0.964
-0.026	331.60	0.943
-0.025	330.68	0.928
-0.024	329.88	0.915
-0.023	328.52	0.893
-0.022	326.98	0.868
-0.021	325.97	0.852
-0.020	325.06	0.837
-0.019	323.85	0.817
-0.018	322.64	0.797
-0.017	321.69	0.781
-0.016	320.71	0.765
-0.015	319.83	0.750
-0.014	319.27	0.741
-0.013	318.74	0.732
-0.012	318.06	0.720
-0.011	317.24	0.706
-0.010	316.42	0.693
-0.009	315.75	0.681
-0.008	315.51	0.677
-0.007	315.20	0.672
-0.006	314.75	0.664
-0.005	314.20	0.655
-0.004	313.60	0.645
-0.003	313.02	0.635
-0.002	312.48	0.626
-0.001	312.01	0.617
0.000	311.61	0.611
0.001	311.29	0.605
0.002	311.07	0.601
0.003	310.94	0.599
0.004	310.87	0.598
0.005	310.85	0.597
0.006	310.84	0.597
0.007	310.83	0.597
0.008	310.79	0.596
0.009	310.71	0.595
0.010	310.58	0.593
0.011	310.39	0.590
0.012	310.12	0.585
0.013	309.78	0.579
0.014	309.38	0.572
0.015	308.95	0.565
0.016	308.52	0.557
0.017	308.07	0.550
0.018	307.62	0.542
0.019	307.18	0.534
0.020	306.74	0.526
0.021	306.32	0.519
0.022	305.91	0.512
0.023	305.52	0.505
0.024	305.15	0.498
0.025	304.78	0.492
0.026	304.43	0.486
0.027	304.08	0.480
0.028	303.74	0.474
0.029	303.40	0.468
0.030	303.07	0.462
0.031	302.74	0.456
0.032	302.41	0.450
0.033	302.07	0.444
0.034	301.72	0.438
0.035	301.38	0.432
0.036	301.03	0.426
0.037	300.68	0.420
0.038	300.33	0.413
0.039	299.98	0.407
0.040	299.63	0.401
0.041	299.28	0.395
0.042	298.93	0.388
0.043	298.58	0.382
0.044	298.24	0.376
0.045	297.89	0.370
0.046	297.55	0.364
0.047	297.22	0.358
0.048	296.89	0.352
0.049	296.57	0.346
0.050	296.26	0.340
0.051	295.95	0.335
0.052	295.65	0.329
0.053	295.34	0.324
0.054	295.03	0.318
0.055	294.72	0.312
0.056	294.40	0.307
0.057	294.07	0.301
0.058	293.73	0.295
0.059	293.39	0.288
0.060	293.03	0.282
0.061	292.68	0.275
0.062	292.32	0.269
0.063	291.97	0.262
0.064	291.62	0.256
0.065	291.27	0.250
0.066	290.94	0.243
0.067	290.63	0.238
0.068	290.33	0.232
0.069	290.04	0.227
0.070	289.77	0.222
0.071	289.52	0.217
0.072	289.27	0.213
0.073	289.04	0.208
0.074	288.82	0.204
0.075	288.61	0.200
0.076	288.41	0.197
0.077	288.22	0.193
0.078	288.04	0.190
0.079	287.87	0.187
0.080	287.71	0.184
0.081	287.56	0.181
0.082	287.41	0.178
0.083	287.28	0.176
0.084	287.16	0.173
0.085	287.05	0.171
0.086	286.95	0.170
0.087	286.87	0.168
0.088	286.79	0.167
0.089	286.73	0.165
0.090	286.67	0.164
0.091	286.62	0.163
0.092	286.58	0.163
0.093	286.54	0.162
0.094	286.50	0.161
0.095	286.46	0.160
0.096	286.42	0.160
0.097	286.36	0.159
0.098	286.30	0.157
0.099	286.21	0.156
0.100	286.10	0.154
0.101	285.97	0.151
0.102	285.83	0.149
0.103	285.67	0.146
0.104	285.50	0.142
0.105	285.33	0.139
0.106	285.16	0.136
0.107	284.99	0.133
0.108	284.83	0.130
0.109	284.68	0.127
0.110	284.54	0.124
0.111	284.41	0.122
0.112	284.29	0.120
0.113	284.17	0.117
0.114	284.06	0.115
0.115	283.95	0.113
0.116	283.85	0.111
0.117	283.74	0.109
0.118	283.64	0.108
0.119	283.54	0.106
0.120	283.44	0.104
0.121	283.34	0.102
0.122	283.24	0.100
0.123	283.14	0.098
0.124	283.04	0.096
0.125	282.94	0.094
0.126	282.84	0.092
0.127	282.74	0.090
0.128	282.64	0.089
0.129	282.54	0.087
0.130	282.44	0.085
0.131	282.34	0.083
0.132	282.24	0.081
0.133	282.14	0.079
0.134	282.04	0.077
0.135	281.94	0.075
0.136	281.84	0.073
0.137	281.74	0.072
0.138	281.64	0.070
0.139	281.54	0.068
0.140	281.44	0.066
0.141	281.34	0.064
0.142	281.24	0.062
0.143	281.14	0.060
0.144	281.04	0.058
0.145	280.95	0.056
0.146	280.85	0.054
0.147	280.75	0.053
0.148	280.65	0.051
0.149	280.55	0.049
0.150	280.45	0.047
0.151	280.35	0.045
0.152	280.25	0.043
0.153	280.16	0.041
0.154	280.06	0.039
0.155	279.96	0.038
0.156	279.87	0.036
0.157	279.77	0.034
0.158	279.67	0.032
0.159	279.58	0.030
0.160	279.49	0.029
0.161	279.40	0.027
0.162	279.31	0.025
0.163	279.22	0.023
0.164	279.13	0.022
0.165	279.04	0.020
0.166	278.96	0.018
0.167	278.88	0.017
0.168	278.80	0.015
0.169	278.72	0.014
0.170	278.64	0.012
0.171	278.57	0.011
0.172	278.50	0.010
0.173	278.43	0.008
0.174	278.36	0.007
0.175	278.30	0.006
0.176	278.24	0.005
0.177	278.18	0.003
0.178	278.12	0.002
0.179	278.06	0.001
0.180	278.01	0.000
0.181	277.96	-0.001
0.182	277.91	-0.002
0.183	277.86	-0.003
0.184	277.81	-0.004
0.185	277.77	-0.004
0.186	277.73	-0.005
0.187	277.69	-0.006
0.188	277.65	-0.007
0.189	277.61	-0.007
0.190	277.58	-0.008
0.191	277.54	-0.009
0.192	277.51	-0.009
0.193	277.48	-0.010
0.194	277.45	-0.011
0.195	277.43	-0.011
0.196	277.40	-0.012
0.197	277.38	-0.012
0.198	277.35	-0.012
0.199	277.33	-0.013
0.200	277.31	-0.013
0.201	277.29	-0.014
0.202	277.27	-0.014
0.203	277.26	-0.014
0.204	277.24	-0.015
0.205	277.22	-0.015
0.206	277.21	-0.015
0.207	277.19	-0.016
0.208	277.18	-0.016
0.209	277.17	-0.016
0.210	277.15	-0.016
0.211	277.14	-0.017
0.212	277.13	-0.017
0.213	277.12	-0.017
0.214	277.11	-0.017
0.215	277.10	-0.017
0.216	277.09	-0.018
0.217	277.08	-0.018
0.218	277.07	-0.018
0.219	277.06	-0.018
0.220	277.05	-0.018
0.221	277.04	-0.019
0.222	277.02	-0.019
0.223	277.01	-0.019
0.224	277.00	-0.019
0.225	276.99	-0.019
0.226	276.98	-0.020
0.227	276.97	-0.020
0.228	276.96	-0.020
0.229	276.94	-0.020
0.230	276.93	-0.021
0.231	276.91	-0.021
0.232	276.90	-0.021
0.233	276.88	-0.022
0.234	276.87	-0.022
0.235	276.85	-0.022
0.236	276.84	-0.022
0.237	276.82	-0.023
0.238	276.80	-0.023
0.239	276.78	-0.023
0.240	276.76	-0.024
0.241	276.75	-0.024
0.242	276.73	-0.025
0.243	276.71	-0.025
0.244	276.69	-0.025
0.245	276.67	-0.026
0.246	276.65	-0.026
0.247	276.63	-0.026
0.248	276.62	-0.027
0.249	276.60	-0.027
0.250	276.58	-0.027
0.251	276.56	-0.028
0.252	276.54	-0.028
0.253	276.52	-0.029
0.254	276.50	-0.029
0.255	276.49	-0.029
0.256	276.47	-0.030
0.257	276.45	-0.030
0.258	276.44	-0.030
0.259	276.42	-0.031
0.260	276.40	-0.031
0.261	276.39	-0.031
0.262	276.37	-0.031
0.263	276.36	-0.032
0.264	276.34	-0.032
0.265	276.33	-0.032
0.266	276.32	-0.033
0.267	276.30	-0.033
