Year_BP,GHG_Forcing
-61.0,2.737
-60.0,2.702
-59.0,2.6679999999999997
-58.0,2.636
-57.0,2.604
-56.0,2.5719999999999996
-55.0,2.539
-54.0,2.509
-53.0,2.476
-52.0,2.44
-51.0,2.4119999999999995
-50.0,2.3859999999999997
-49.0,2.3569999999999998
-48.0,2.316
-47.0,2.279
-46.0,2.2489999999999997
-45.0,2.218
-44.0,2.1870000000000003
-43.0,2.165
-42.0,2.1470000000000002
-41.0,2.124
-40.0,2.0980000000000003
-39.0,2.064
-38.0,2.025
-37.0,1.9809999999999999
-36.0,1.9460000000000002
-35.0,1.915
-34.0,1.88
-33.0,1.8410000000000002
-32.0,1.803
-31.0,1.768
-30.0,1.729
-29.0,1.691
-28.0,1.655
-27.0,1.618
-26.0,1.585
-25.0,1.558
-24.0,1.534
-23.0,1.4989999999999999
-22.0,1.4609999999999999
-21.0,1.432
-20.0,1.4040000000000001
-19.0,1.371
-18.0,1.3370000000000002
-17.0,1.308
-16.0,1.281
-15.0,1.2570000000000001
-14.0,1.238
-13.0,1.218
-12.0,1.1960000000000002
-11.0,1.171
-10.0,1.149
-9.0,1.127
-8.0,1.114
-7.0,1.1010000000000002
-6.0,1.084
-5.0,1.066
-4.0,1.046
-3.0,1.0270000000000001
-2.0,1.0110000000000001
-1.0,0.9949999999999999
0.0,0.982
1.0,0.97
2.0,0.9609999999999999
3.0,0.954
4.0,0.95
5.0,0.9460000000000001
6.0,0.9440000000000001
7.0,0.942
8.0,0.938
9.0,0.9329999999999999
10.0,0.928
11.0,0.92
12.0,0.911
13.0,0.901
14.0,0.889
15.0,0.877
16.0,0.8630000000000001
17.0,0.8520000000000001
18.0,0.8390000000000001
19.0,0.8270000000000001
20.0,0.8150000000000001
21.0,0.803
22.0,0.79
23.0,0.78
24.0,0.768
25.0,0.758
26.0,0.749
27.0,0.738
28.0,0.726
29.0,0.7140000000000001
30.0,0.7010000000000001
31.0,0.6880000000000001
32.0,0.673
33.0,0.66
34.0,0.648
35.0,0.637
36.0,0.628
37.0,0.621
38.0,0.614
39.0,0.607
40.0,0.5980000000000001
41.0,0.5860000000000001
42.0,0.5710000000000001
43.0,0.556
44.0,0.543
45.0,0.531
46.0,0.519
47.0,0.507
48.0,0.498
49.0,0.489
50.0,0.48000000000000004
51.0,0.47100000000000003
52.0,0.463
53.0,0.455
54.0,0.447
55.0,0.439
56.0,0.431
57.0,0.42100000000000004
58.0,0.41300000000000003
59.0,0.404
60.0,0.397
61.0,0.389
62.0,0.381
63.0,0.374
64.0,0.367
65.0,0.359
66.0,0.348
67.0,0.33999999999999997
68.0,0.332
69.0,0.324
70.0,0.316
71.0,0.31
72.0,0.304
73.0,0.298
74.0,0.293
75.0,0.28700000000000003
76.0,0.281
77.0,0.275
78.0,0.269
79.0,0.263
80.0,0.259
81.0,0.255
82.0,0.251
83.0,0.248
84.0,0.241
85.0,0.23500000000000001
86.0,0.23
87.0,0.224
88.0,0.219
89.0,0.21400000000000002
90.0,0.21100000000000002
91.0,0.20700000000000002
92.0,0.20500000000000002
93.0,0.202
94.0,0.201
95.0,0.201
96.0,0.201
97.0,0.202
98.0,0.201
99.0,0.201
100.0,0.198
101.0,0.191
102.0,0.183
103.0,0.178
104.0,0.173
105.0,0.169
106.0,0.165
107.0,0.16
108.0,0.156
109.0,0.152
110.0,0.147
111.0,0.144
112.0,0.141
113.0,0.137
114.0,0.133
115.0,0.13
116.0,0.126
117.0,0.123
118.0,0.122
119.0,0.12
120.0,0.11699999999999999
121.0,0.11499999999999999
122.0,0.112
123.0,0.109
124.0,0.105
125.0,0.10099999999999999
126.0,0.09699999999999999
127.0,0.09299999999999999
128.0,0.09
129.0,0.086
130.0,0.083
131.0,0.08
132.0,0.078
133.0,0.076
134.0,0.074
135.0,0.072
136.0,0.06999999999999999
137.0,0.06999999999999999
138.0,0.068
139.0,0.066
140.0,0.065
141.0,0.063
142.0,0.061000000000000006
143.0,0.059000000000000004
144.0,0.057
145.0,0.054000000000000006
146.0,0.051000000000000004
147.0,0.05
148.0,0.046
149.0,0.041999999999999996
150.0,0.038000000000000006
151.0,0.033
152.0,0.028
153.0,0.025000000000000005
154.0,0.022000000000000002
155.0,0.02
156.0,0.018
157.0,0.016000000000000004
158.0,0.014000000000000002
159.0,0.013000000000000001
160.0,0.013000000000000001
161.0,0.012
162.0,0.011000000000000001
163.0,0.01
164.0,0.009
165.0,0.008
166.0,0.005999999999999998
167.0,0.005000000000000001
168.0,0.002999999999999999
169.0,0.003
170.0,8.673617379884035e-19
171.0,-0.001
172.0,-0.001999999999999999
173.0,-0.003999999999999999
174.0,-0.006
175.0,-0.007
176.0,-0.008
177.0,-0.011
178.0,-0.012
179.0,-0.014000000000000002
180.0,-0.016
181.0,-0.018000000000000002
182.0,-0.020000000000000004
183.0,-0.022
184.0,-0.025
185.0,-0.026000000000000002
186.0,-0.028
187.0,-0.03
188.0,-0.031
189.0,-0.032
190.0,-0.034
191.0,-0.035
192.0,-0.036
193.0,-0.037
194.0,-0.039
195.0,-0.039
196.0,-0.041
197.0,-0.041
198.0,-0.042
199.0,-0.044
200.0,-0.045
201.0,-0.046
202.0,-0.047
203.0,-0.048
204.0,-0.05
205.0,-0.051000000000000004
206.0,-0.052000000000000005
207.0,-0.054
208.0,-0.054
209.0,-0.055
210.0,-0.055
211.0,-0.056
212.0,-0.057
213.0,-0.057
214.0,-0.058
215.0,-0.059000000000000004
216.0,-0.062
217.0,-0.062
218.0,-0.063
219.0,-0.064
220.0,-0.065
221.0,-0.067
222.0,-0.068
223.0,-0.07
224.0,-0.07
225.0,-0.07100000000000001
226.0,-0.07200000000000001
227.0,-0.07200000000000001
228.0,-0.07200000000000001
229.0,-0.07300000000000001
230.0,-0.07500000000000001
231.0,-0.07500000000000001
232.0,-0.07500000000000001
233.0,-0.07700000000000001
234.0,-0.07700000000000001
235.0,-0.07700000000000001
236.0,-0.07700000000000001
237.0,-0.08
238.0,-0.08
239.0,-0.08
240.0,-0.082
241.0,-0.082
242.0,-0.083
243.0,-0.083
244.0,-0.084
245.0,-0.085
246.0,-0.085
247.0,-0.085
